epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1142.01,1.57281,2.11415,1.7259,0.47504,0.41387,0.4055,0.20551,1.66987,1.8117,1.63065,0.006139,0.006139,0.006139
119,1151.79,1.5779,2.13634,1.72691,0.43841,0.38729,0.39102,0.19854,1.66656,1.82044,1.62995,0.006106,0.006106,0.006106
120,1161.4,1.54707,2.13717,1.71791,0.43491,0.44013,0.41032,0.21385,1.6118,1.75211,1.61251,0.006073,0.006073,0.006073
121,1170.94,1.54822,2.09556,1.71537,0.45625,0.45104,0.44323,0.23381,1.58791,1.73604,1.59516,0.00604,0.00604,0.00604
122,1180.55,1.55923,2.11309,1.71367,0.50593,0.45732,0.4644,0.23676,1.62367,1.6942,1.59868,0.006007,0.006007,0.006007
123,1190.17,1.55443,2.09131,1.72089,0.45717,0.45005,0.43407,0.2249,1.66052,1.7386,1.62456,0.005974,0.005974,0.005974
124,1199.81,1.54687,2.12123,1.71764,0.4012,0.47754,0.41794,0.20894,1.72276,1.8028,1.66431,0.005941,0.005941,0.005941
125,1209.27,1.53884,2.09942,1.71102,0.4404,0.49105,0.44405,0.22384,1.64462,1.77185,1.64365,0.005908,0.005908,0.005908
126,1219.03,1.55506,2.09222,1.7161,0.46117,0.4718,0.44209,0.22496,1.65575,1.7414,1.63062,0.005875,0.005875,0.005875
127,1228.95,1.55215,2.06695,1.70816,0.50011,0.44546,0.43265,0.20845,1.7277,1.8039,1.66079,0.005842,0.005842,0.005842
128,1238.59,1.54808,2.09402,1.7156,0.49186,0.45332,0.43692,0.21559,1.7056,1.81111,1.65022,0.005809,0.005809,0.005809
129,1248.19,1.56816,2.11483,1.73339,0.44165,0.45879,0.42788,0.22015,1.61478,1.82305,1.60528,0.005776,0.005776,0.005776
130,1258.08,1.53978,2.07894,1.71402,0.47248,0.45323,0.43708,0.22837,1.60191,1.70573,1.59229,0.005743,0.005743,0.005743
131,1267.79,1.54676,2.07425,1.71555,0.41228,0.4487,0.40511,0.2044,1.64345,1.75818,1.60575,0.00571,0.00571,0.00571
132,1277.35,1.53254,2.05623,1.6974,0.44438,0.45481,0.41251,0.20785,1.6887,1.75263,1.62801,0.005677,0.005677,0.005677
133,1287.2,1.54762,2.10615,1.71102,0.45379,0.43447,0.41931,0.21243,1.67458,1.77277,1.62294,0.005644,0.005644,0.005644
134,1296.75,1.52939,2.10015,1.70559,0.44261,0.47641,0.43648,0.20842,1.75477,1.73012,1.70032,0.005611,0.005611,0.005611
135,1306.26,1.53404,2.04148,1.704,0.50085,0.437,0.44362,0.22587,1.6334,1.75891,1.63714,0.005578,0.005578,0.005578
136,1315.85,1.54334,2.07308,1.71818,0.45859,0.45753,0.42648,0.2218,1.64281,1.78466,1.6158,0.005545,0.005545,0.005545
137,1325.21,1.54787,2.06883,1.72144,0.46279,0.50499,0.45983,0.22795,1.7039,1.69833,1.65468,0.005512,0.005512,0.005512
138,1334.65,1.54157,2.06804,1.71621,0.45551,0.42635,0.41505,0.2125,1.63477,1.77528,1.61372,0.005479,0.005479,0.005479
139,1344.13,1.52264,2.00314,1.68671,0.4819,0.46168,0.43384,0.20677,1.7747,1.73778,1.68922,0.005446,0.005446,0.005446
140,1353.71,1.56193,2.06803,1.72173,0.43418,0.48195,0.43599,0.21964,1.699,1.72912,1.64755,0.005413,0.005413,0.005413
141,1363.12,1.52324,2.06351,1.69977,0.43009,0.49637,0.44555,0.232,1.6415,1.67068,1.62137,0.00538,0.00538,0.00538
142,1372.53,1.51632,2.02496,1.69937,0.40005,0.50509,0.4324,0.22348,1.63057,1.73666,1.60788,0.005347,0.005347,0.005347
143,1382.01,1.52706,2.05384,1.69872,0.46429,0.4638,0.44155,0.22998,1.64,1.72396,1.59911,0.005314,0.005314,0.005314
144,1391.94,1.54691,2.07914,1.71601,0.41697,0.49396,0.44664,0.22632,1.64081,1.6847,1.61529,0.005281,0.005281,0.005281
145,1401.44,1.50845,1.97101,1.66261,0.4231,0.45135,0.41201,0.2231,1.58127,1.69978,1.57685,0.005248,0.005248,0.005248
146,1411.18,1.50468,2.00358,1.68459,0.47688,0.44326,0.43616,0.22386,1.68842,1.78633,1.64525,0.005215,0.005215,0.005215
147,1420.62,1.51395,2.02706,1.68562,0.48222,0.48777,0.47013,0.23703,1.63282,1.66318,1.60004,0.005182,0.005182,0.005182
148,1430.25,1.51726,2.0235,1.69502,0.46998,0.48069,0.4693,0.22422,1.72383,1.69336,1.66989,0.005149,0.005149,0.005149
149,1439.8,1.52342,2.02617,1.69168,0.48928,0.47244,0.45088,0.23514,1.63055,1.67994,1.5966,0.005116,0.005116,0.005116
150,1449.49,1.52639,2.00017,1.69742,0.4827,0.48072,0.46123,0.24546,1.60513,1.68895,1.59938,0.005083,0.005083,0.005083
151,1459.19,1.51599,1.99706,1.69067,0.4662,0.50221,0.45744,0.22457,1.70964,1.69163,1.63856,0.00505,0.00505,0.00505
152,1468.79,1.52004,2.00095,1.70042,0.49984,0.50374,0.4764,0.23579,1.67001,1.6488,1.63027,0.005017,0.005017,0.005017
